MCST TYPE	MCST NUMBER	SUB-MCST NUMBER	MCST UEN	DEVELOPMENT NAME	DEVELOPMENT LOCATION	MCST ADDRESS	MCST STATUS	NUMBER OF STRATA UNITS	MC TEL NO	DATE OF MC CONSTITUTION	MANAGING AGENT	MA TEL NO
 Single Tier Management Corporation	 0119		S72MC0119E	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0119	14 HAIG AVENUE 438869	14B HAIG AVENUE - SINGAPORE 438869	ACTIVE	3		05/02/1972	MCST	
 Single Tier Management Corporation	 0120		S72MC0120B	BEE HWA COURT (Terminated)	17L OXLEY ROAD 238618	TERMINATED SIMS AVENUE - SINGAPORE 	TERMINATED	24		28/02/1972	LANDSFIELD PROPERTY CONSULTANTS PTE LTD (Mr Peh)	68421731
 Single Tier Management Corporation	 0121		S72MC0121J	BRIGHTS APARTMENT	57D IRRAWADDY ROAD 329551	51 IRRAWADDY ROAD - SINGAPORE 329551	TERMINATED	20	62551206	01/03/1972	LANDSFIELD PROPERTY CONSULTANTS PTE LTD (Mr Peh)	68421731
 Single Tier Management Corporation	 0122		S72MC0122E	JALAN TUA KONG	59C JALAN TUA KONG 457254	1557 KEPPEL ROAD 03-05B SINGAPORE 089066	ACTIVE	20	68420768	21/03/1972	Aladdin Management Solutions Pte Ltd	68420768
 Single Tier Management Corporation	 0123		S72MC0123A	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0123	79B LORONG 8 GEYLANG 399142	81A LORONG 8 GEYLANG - SINGAPORE 399143	ACTIVE	6	67445522	21/03/1972		
 Single Tier Management Corporation	 0124		S72MC0124H	HERTFORD MANSION	21/A/B BRISTOL ROAD 219847	21 BRISTOL ROAD - SINGAPORE 219847	ACTIVE	12	65549591	27/03/1972	AMPM Property Consultants Pte Ltd	65549591
 Single Tier Management Corporation	 0125		S72MC0125D		458/A/B/C BALESTIER ROAD 329834	454 - 458 BALESTIER ROAD - SINGAPORE 329880	TERMINATED	12	63361214	01/01/1976	LOO & LEE SECRETARIAL & MANAGEMENT PTE LTD	63372410
 Single Tier Management Corporation	 0126		S72MC0126L	REALTY PARK	48/A LORONG 1 REALTY PARK 536957	1557 KEPPEL ROAD 03-05B SINGAPORE 089066	ACTIVE	20	68420768	30/03/1972	Aladdin Management Solutions Pte Ltd	68420768
 Single Tier Management Corporation	 0127		S72MC0127G	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0127	33 LORONG 17 GEYLANG 388557	33B LORONG 17 GEYLANG - SINGAPORE 388557	ACTIVE	3	62878532	30/03/1972		
 Single Tier Management Corporation	 0128		S72MC0128C	BAN GUAN PARK		68 GREENLEAF ROAD - SINGAPORE 279355	TERMINATED	18	67788595	05/04/1972	NIL	
 Single Tier Management Corporation	 0129		S72MC0129K			TERMINATED  - SINGAPORE 	TERMINATED	12		15/04/1972	PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD	64661342
 Single Tier Management Corporation	 0130		S72MC0130G	WOOLLERTON PARK APARTMENT	36E WOOLLERTON PARK 257530	30 WOOLLERTON PARK - SINGAPORE 257530	ACTIVE	56	64669723	25/05/1972	COLLIERS INTERNATIONAL CONSULTANCY & VALUATION (S) PTE LTD	62232323
 Single Tier Management Corporation	 0131		S72MC0131C	MUTUAL COURT	8/A/B/C/D MAR THOMA ROAD 328694	531 UPPER CROSS STREET 04-12 SINGAPORE 050531	TERMINATED	34	63345565	26/05/1972	DICKSON PROPERTY CONSULTANTS PTE LTD	63345565
 Single Tier Management Corporation	 0132		S72MC0132K	ENG KONG MAN (Terminated)		TERMINATED  - SINGAPORE 	TERMINATED	64		31/05/1972	DICKSON PROPERTY CONSULTANTS PTE LTD	63345565
 Single Tier Management Corporation	 0133		S72MC0133F	KISMIS LODGE		8 KAKI BUKIT ROAD 2 02-04 SINGAPORE 417841	TERMINATED	64	67424049	31/05/1972	Aspire Property Management (S) Pte Ltd 	67424049
 Single Tier Management Corporation	 0134		S72MC0134B	DRAGON VIEW PARK (TERMINATED)	51P JALAN MUTIARA 249204	TERMINATED JALAN MUTIARA - SINGAPORE 249220	TERMINATED	88	67336845	15/06/1972	KIRIN PROPERTIES & SERVICES	67336845
 Single Tier Management Corporation	 0135		S72MC0135J	DEVONSHIRE COURT (Terminated)	148M KILLINEY ROAD 239564	TERMINATED  - SINGAPORE 	TERMINATED	62		05/07/1972	CHESTERTON INTERNATIONAL PROPERTY CONSULTANTS PTE LTD	62218288
 Single Tier Management Corporation	 0136		S72MC0136E	CAVENAGH COURT	151 CAVENAGH ROAD 229628	151 CAVENAGH ROAD - SINGAPORE 229628	ACTIVE	69	67361262	01/08/1972	NEWMAN & GOH PROPERTY CONSULTANTS PTE LTD	62569333
 Single Tier Management Corporation	 0137		S72MC0137A			200 JALAN SULTAN 03-03 SINGAPORE 199018	TERMINATED	12		17/08/1972	PROACT BLDG MAINTENANCE SERVICES	
 Single Tier Management Corporation	 0138		S72MC0138H			TERMINATED RAFFLES PLACE - SINGAPORE 	TERMINATED	12		22/08/1972	PROACT BLDG MAINTENANCE SERVICES	
 Single Tier Management Corporation	 0139		S72MC0139D	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0139	14 JALAN LABU AYER 538026	14 JALAN LABU AYER - SINGAPORE 538026	ACTIVE	5	63832877	05/09/1972		
 Single Tier Management Corporation	 0140		S72MC0140A	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0140	465E JOO CHIAT ROAD 427678	465D JOO CHIAT ROAD - SINGAPORE 427678	ACTIVE	3		14/09/1972	MCST	
 Single Tier Management Corporation	 0141		S72MC0141H	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0141	467B JOO CHIAT ROAD 427678	247B TANJONG KATONG ROAD - SINGAPORE 437035	ACTIVE	3		14/09/1972	MCST	
 Single Tier Management Corporation	 0142		S72MC0142D	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0142	33/A-E HONGKONG STREET 59672	33A-E HONGKONG STREET - SINGAPORE 059672	ACTIVE	6	65323941	18/09/1972		
 Single Tier Management Corporation	 0143		S72MC0143L	CHANGI HEIGHTS		TERMINATED  - SINGAPORE 	TERMINATED	58		19/09/1972	SINGAPORE LIVESTOCK FARMERS ASSOCIATION	65342744
 Single Tier Management Corporation	 0144		S72MC0144G	(Terminated)		TERMINATED  - SINGAPORE 	TERMINATED	5		25/09/1972	SINGAPORE LIVESTOCK FARMERS ASSOCIATION	65342744
 Single Tier Management Corporation	 0145		S72MC0145C	IDEAL PLACE	278B JOO CHIAT ROAD 427526	1014 GEYLANG EAST AVENUE 3 7-216 SINGAPORE 389729	ACTIVE	18	68440801	29/09/1972	Halley Service Pte Ltd	68440801
 Single Tier Management Corporation	 0146		S72MC0146K	REALTY CENTRE	16W ENGGOR STREET 79716	15 ENGGOR STREET - SINGAPORE 079716	ACTIVE	36	88421731	29/09/1972	Landsfield Property Consultants Pte Ltd	68421731
 Single Tier Management Corporation	 0147		S72MC0147F	FAIRHAVEN	130T SOPHIA ROAD 228185	130 SOPHIA ROAD - SINGAPORE 228185	ACTIVE	15	63391556	29/09/1972		
 Single Tier Management Corporation	 0148		T05MC3005G	GRAND BUILDING	17J PHILLIP STREET 48695	750 CHAI CHEE ROAD 03-09 SINGAPORE 469000	ACTIVE	11	64179205	30/09/1972	DTZ DEBENHAM TIE LEUNG PROPERTY MANAGEMENT SERVICES PTE LTD	64179205
 Single Tier Management Corporation	 0149		S72MC0149J			TERMINATED  - SINGAPORE 	TERMINATED	3		02/10/1972	BRITISH AND MALAYAN TRUSTEES LTD	65354922
 Single Tier Management Corporation	 0150		S72MC0150F			TERMINATED  - SINGAPORE 	TERMINATED	3		02/10/1972	BRITISH AND MALAYAN TRUSTEES LTD	65354922
 Single Tier Management Corporation	 0151		S72MC0151B	EAST VILLE	43Q JOO CHIAT LANE 428103	1557 KEPPEL ROAD 03-05B SINGAPORE 089066	ACTIVE	16	68420768	03/10/1972	Aladdin Management Solutions Pte Ltd	68420768
 Single Tier Management Corporation	 0152		S72MC0152J	LAVENDER STREET	205 LAVENDER STREET 338764	205 LAVENDER STREET - SINGAPORE 338764	ACTIVE	4	62913274	09/10/1972		
 Single Tier Management Corporation	 0153		S72MC0153E	Terminated		118A KOON SENG ROAD - SINGAPORE 427050	TERMINATED	6	63457724	15/12/1980	NIL	
 Single Tier Management Corporation	 0154		S72MC0154A	DEVONSHIRE MANSIONS (Terminated)	61 DEVONSHIRE ROAD 239858	78 SHENTON WAY 22-01 SINGAPORE 079120	TERMINATED	8	62218111	16/10/1972	MCL LAND PROPERTY MANAGEMENT PTE LTD	62218111
 Single Tier Management Corporation	 0155		S72MC0155H	83/83A/85/85A JOO CHIAT TERRACE	85A JOO CHIAT TERRACE 427245	83 JOO CHIAT TERRACE - SINGAPORE 427245	ACTIVE	4	98555958	01/11/1972	MCL LAND PROPERTY MANAGEMENT PTE LTD	62218111
 Single Tier Management Corporation	 0156		S72MC0156D	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0156	467E JOO CHIAT ROAD 427678	467C JOO CHIAT ROAD - SINGAPORE 427678	ACTIVE	3	63440690	07/11/1972	MCST	
 Single Tier Management Corporation	 0157		S72MC0157L	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0157	16/A/B KIM KEAT LANE 328874	2 TANNERY ROAD 01-01 SINGAPORE 347720	ACTIVE	12	67412232	10/11/1972	CENCON PROPERTIES PTE LTD	67412232
 Single Tier Management Corporation	 0158		S72MC0158G	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0158	8/A/B KIM KEAT LANE 328865	2 TANNERY ROAD 01-01 SINGAPORE 347720	ACTIVE	3	67412232	14/11/1972	CENCON PROPERTIES PTE LTD	67417804
 Single Tier Management Corporation	 0159		S72MC0159C	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0159	4/A/B KIM KEAT LANE 328861	2 TANNERY ROAD 01-01 SINGAPORE 347720	ACTIVE	3	67412232	14/11/1972	CENCON PROPERTIES PTE LTD	67417804
 Single Tier Management Corporation	 0160		S72MC0160L	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0160	2/A/B KIM KEAT LANE 328859	2 TANNERY ROAD 01-01 SINGAPORE 347720	ACTIVE	3	67412232	14/11/1972	CENCON PROPERTIES PTE LTD	67412232
 Single Tier Management Corporation	 0161		S72MC0161G	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0161	1/A/B KIM KEAT CLOSE 328913	2 TANNERY ROAD 01-01 SINGAPORE 347720	ACTIVE	3	67412232	14/11/1972	CENCON PROPERTIES PTE LTD	67417804
 Single Tier Management Corporation	 0162		S72MC0162C	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0162	3/A/B KIM KEAT CLOSE 328915	2 TANNERY ROAD 01-01 SINGAPORE 347720	ACTIVE	3	67412232	14/11/1972	CENCON PROPERTIES PTE LTD	67417804
 Single Tier Management Corporation	 0163		S72MC0163K	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0163	5/A/B KIM KEAT CLOSE 328917	2 TANNERY ROAD 01-01 SINGAPORE 347720	ACTIVE	3	67412232	14/11/1972	CENCON PROPERTIES PTE LTD	67412232
 Single Tier Management Corporation	 0164		S72MC0164F	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0164	7/A/B KIM KEAT CLOSE 328919	2 TANNERY ROAD 01-01 SINGAPORE 347720	ACTIVE	3	67412232	14/11/1972	CENCON PROPERTIES PTE LTD	67417804
 Single Tier Management Corporation	 0167		S72MC0167E	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0167	15/A/B KIM KEAT CLOSE 328926	2 TANNERY ROAD 01-01 SINGAPORE 347720	ACTIVE	3	67412232	15/11/1972	CENCON PROPERTIES PTE LTD	67417804
 Single Tier Management Corporation	 0168		S72MC0168A	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0168	19/A/B KIM KEAT CLOSE 328930	2 TANNERY ROAD 01-01 SINGAPORE 347720	ACTIVE	3	67412232	15/11/1972	CENCON PROPERTIES PTE LTD	67417804
 Single Tier Management Corporation	 0169		S72MC0169H	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0169	21/A/B KIM KEAT CLOSE 328931	2 TANNERY ROAD 01-01 SINGAPORE 347720	ACTIVE	3	67412232	15/11/1972	CENCON PROPERTIES PTE LTD	67419492
 Single Tier Management Corporation	 0170		S72MC0170E	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0170	23/A/B KIM KEAT CLOSE 328932	2 TANNERY ROAD 01-01 SINGAPORE 347720	ACTIVE	3	67412232	15/11/1972	CENCON PROPERTIES PTE LTD	67417804
 Single Tier Management Corporation	 0171		S72MC0171A	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0171	2/A/B KIM KEAT CLOSE 328914	2 TANNERY ROAD 01-01 SINGAPORE 347720	ACTIVE	3	67412232	15/11/1972	CENCON PROPERTIES PTE LTD	67417804
 Single Tier Management Corporation	 0172		S72MC0172H	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0172	4/A/B KIM KEAT CLOSE 328916	2 TANNERY ROAD 01-01 SINGAPORE 347720	ACTIVE	3	67412232	15/11/1972	CENCON PROPERTIES PTE LTD	67419492
 Single Tier Management Corporation	 0173		S72MC0173D	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0173	6/A/B KIM KEAT CLOSE 328918	2 TANNERY ROAD 01-01 SINGAPORE 347720	ACTIVE	3	67412232	15/11/1972	CENCON PROPERTIES PTE LTD	67417804
 Single Tier Management Corporation	 0174		S72MC0174L	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0174	8/A/B KIM KEAT CLOSE 328920	2 TANNERY ROAD 01-01 SINGAPORE 347720	ACTIVE	3	67412232	15/11/1972	CENCON PROPERTIES PTE LTD	67417804
 Single Tier Management Corporation	 0175		S72MC0175G	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0175	10/A/B KIM KEAT CLOSE 328922	2 TANNERY ROAD 01-01 SINGAPORE 347720	ACTIVE	3	67412232	15/11/1972	CENCON PROPERTIES PTE LTD	67412232
 Single Tier Management Corporation	 0176		S72MC0176C	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0176	12/A/B KIM KEAT CLOSE 328924	2 TANNERY ROAD 01-01 SINGAPORE 347720	ACTIVE	3	67412232	16/11/1972	CENCON PROPERTIES PTE LTD	67417804
 Single Tier Management Corporation	 0177		S72MC0177K	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0177	14/A/B KIM KEAT CLOSE 328925	2 TANNERY ROAD 01-01 SINGAPORE 347720	ACTIVE	3	67412232	16/11/1972	CENCON PROPERTIES PTE LTD	67417804
 Single Tier Management Corporation	 0178		S72MC0178F	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0178	16/A/B KIM KEAT CLOSE 328927	2 TANNERY ROAD 01-01 SINGAPORE 347720	ACTIVE	3	67412232	16/11/1972	CENCON PROPERTIES PTE LTD	67419492
 Single Tier Management Corporation	 0179		S72MC0179B	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0179	6/A/B KIM KEAT LANE 328863	2 TANNERY ROAD 01-01 SINGAPORE 347720	ACTIVE	3	67412232	16/11/1972	CENCON PROPERTIES PTE LTD	67417804
 Single Tier Management Corporation	 0180		S72MC0180K	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0180	17/A/B KIM KEAT CLOSE 328928	2 TANNERY ROAD 01-01 SINGAPORE 347720	ACTIVE	3	67412232	16/11/1972	CENCON PROPERTIES PTE LTD	67417804
 Single Tier Management Corporation	 0181		S72MC0181F	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0181	18/A/B KIM KEAT CLOSE 328929	2 TANNERY ROAD 01-01 SINGAPORE 347720	ACTIVE	3	67412232	16/11/1972	CENCON PROPERTIES PTE LTD	67419492
 Single Tier Management Corporation	 0182		S72MC0182B	LUCKY COURT	79C LUCKY HEIGHTS 467627		ACTIVE	20		30/11/1972	Camrie Project and Estate Management	
 Single Tier Management Corporation	 0183		S72MC0183J	CARLISLE LODGE	81/A/B/C CARLISLE ROAD 219644	TERMINATED CARLISLE ROAD - SINGAPORE 	TERMINATED	25		04/12/1972	OUTOCOZ PROPERTY SERVICES PTE LTD	64404600
 Single Tier Management Corporation	 0184		S72MC0184E	WOO MON CHEW COURT	2E WOO MON CHEW ROAD 455056	2 WOO MON CHEW ROAD - SINGAPORE 455056	ACTIVE	6		27/12/1972		
 Single Tier Management Corporation	 0185		S73MC0185F	WOOLLERTON PARK APARTMENTS	22 WOOLLERTON PARK 257526	30 WOOLLERTON PARK - SINGAPORE 257530	ACTIVE	56	64669723	27/01/1973	COLLIERS INTERNATIONAL CONSULTANCY & VALUATION (S) PTE LTD	62232323
 Single Tier Management Corporation	 0186		S73MC0186B	HOOT KIAM MANSIONS	17 HOOT KIAM ROAD 249400	140 PAYA LEBAR ROAD 05-26 SINGAPORE 409015	ACTIVE	22	67336845	26/02/1973	Kirin Asset Management Pte Ltd	67336845
 Single Tier Management Corporation	 0187		S73MC0187J	ELLING COURT		1 YUK TONG AVENUE 01-01 SINGAPORE 596306	TERMINATED	15	64661342	11/04/1973	PREMAS INTERNATIONAL LTD	65384733
 Single Tier Management Corporation	 0188		S73MC0188E		9B LORONG 20 GEYLANG 398729	51 JURONG EAST AVENUE 1 16-02 SINGAPORE 609782	TERMINATED	18	97892503	19/04/1973		
 Single Tier Management Corporation	 0189		S73MC0189A	STILL MANSION	2 STILL ROAD 423950	701 GEYLANG ROAD 03-04 SINGAPORE 389687	ACTIVE	30	64664703	24/04/1973	Pacific Property Management Pte Ltd	68411535
 Single Tier Management Corporation	 0190		S73MC0190J	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0190	58C UPPER WELD ROAD 207412	58C UPPER WELD ROAD - SINGAPORE 207412	ACTIVE	4		02/05/1973		
 Single Tier Management Corporation	 0191		S73MC0191E	PELIKAT MANSIONS		PO BOX 141 UPPER SERANGOON ROAD - SINGAPORE 915425	TERMINATED	3	67336845	12/05/1973	KIRIN PROPERTIES & SERVICES	67336845
 Single Tier Management Corporation	 0192		S73MC0192A		193B JALAN PELIKAT 192	POBOX0141 UPPER SERANGOON ROAD - SINGAPORE 915425	TERMINATED	3	67336845	12/05/1973	KIRIN PROPERTIES & SERVICES	67336845
 Single Tier Management Corporation	 0193		S73MC0193H			POBOX 0141 UPPER SERANGOON ROAD - SINGAPORE 915425	TERMINATED	3	67336845	12/05/1973	KIRIN PROPERTIES & SERVICES	67336845
 Single Tier Management Corporation	 0194		S73MC0194D	PELIKAT MANSIONS		POBOX0141 UPPER SERANGOON ROAD - SINGAPORE 915425	TERMINATED	3	67336845	12/05/1973	KIRIN PROPERTIES & SERVICES	67336845
 Single Tier Management Corporation	 0195		S73MC0195L			POBOX 0141 UPPER SERANGOON ROAD - SINGAPORE 915425	TERMINATED	3	67336845	12/05/1973	KIRIN PROPERTIES & SERVICES	67336845
 Single Tier Management Corporation	 0196		S73MC0196G			POBOX0141 UPPER SERANGOON ROAD - SINGAPORE 915425	TERMINATED	3	67336845	12/05/1973	KIRIN PROPERTIES & SERVICES	67336845
 Single Tier Management Corporation	 0197		S73MC0197C			POBOX 0141 UPPER SERANGOON ROAD - SINGAPORE 915425	TERMINATED	3	67336845	12/05/1973	KIRIN PROPERTIES & SERVICES	67336845
 Single Tier Management Corporation	 0198		S73MC0198K			POBOX 0141 UPPER SERANGOON ROAD - SINGAPORE 915425	TERMINATED	3	67336845	12/05/1973	KIRIN PROPERTIES & SERVICES	67336845
 Single Tier Management Corporation	 0199		S73MC0199F			POBOX0141 UPPER SERANGOON ROAD - SINGAPORE 915425	TERMINATED	3	67336845	12/05/1973	KIRIN PROPERTIES & SERVICES	67336845
 Single Tier Management Corporation	 0200		S73MC0200K			POBOX0141 UPPER SERANGOON ROAD - SINGAPORE 915425	TERMINATED	3	67336845	12/05/1973	KIRIN PROPERTIES & SERVICES	67336845
 Single Tier Management Corporation	 0201		S73MC0201F			POBOX0141 UPPER SERANGOON ROAD - SINGAPORE 915425	TERMINATED	3	67336845	12/05/1973	KIRIN PROPERTIES & SERVICES	67336845
 Single Tier Management Corporation	 0202		S73MC0202B			POBOX 0141 UPPER SERANGOON ROAD - SINGAPORE 915425	TERMINATED	3	67336845	12/05/1973	KIRIN PROPERTIES & SERVICES	67336845
 Single Tier Management Corporation	 0203		S73MC0203J			POBOX 0141 UPPER SERANGOON ROAD - SINGAPORE 915425	TERMINATED	3	67336845	12/05/1973	KIRIN PROPERTIES & SERVICES	67336845
 Single Tier Management Corporation	 0204		S73MC0204E			POBOX0141 UPPER SERANGOON ROAD - SINGAPORE 915425	TERMINATED	3	67336845	12/05/1973	KIRIN PROPERTIES & SERVICES	67336845
 Single Tier Management Corporation	 0205		S73MC0205A			POBOX 0141 UPPER SERANGOON ROAD - SINGAPORE 915425	TERMINATED	3	67336845	12/05/1973	KIRIN PROPERTIES & SERVICES	67336845
 Single Tier Management Corporation	 0206		S73MC0206H			POBOX0141 UPPER SERANGOON ROAD - SINGAPORE 915425	TERMINATED	3	67336845	12/05/1973	KIRIN PROPERTIES & SERVICES	67336845
 Single Tier Management Corporation	 0207		S73MC0207D			POBOX 0141 UPPER SERANGOON ROAD - SINGAPORE 915425	TERMINATED	3	67336845	12/05/1973	KIRIN PROPERTIES & SERVICES	67336845
 Single Tier Management Corporation	 0208		S73MC0208L	BO BO TAN GARDEN (Building demolished)		101 THOMSON ROAD 04-00 SINGAPORE 307591	TERMINATED	60	62508966	25/05/1973	KIRIN PROPERTIES & SERVICES	67336845
 Single Tier Management Corporation	 0209		S73MC0209G	BO BO TAN GARDENS (Buiding demolished)	44 CHAY YAN STREET 169902	51B CHAY YAN STREET - SINGAPORE 169920	TERMINATED	60	62259910	25/05/1973	KIRIN PROPERTIES & SERVICES	67336845
 Single Tier Management Corporation	 0210		S73MC0210D	KATONG MANSION		50 RAFFLES PLACE 11-02 SINGAPORE 048623	TERMINATED	27		29/06/1973		
 Single Tier Management Corporation	 0211		S73MC0211L	SAM LEONG MANSION	23C SAM LEONG ROAD 207914	24  SAM LEONG ROAD - SINGAPORE 207915	ACTIVE	8	96606584	30/06/1973		
 Single Tier Management Corporation	 0212		S73MC0212G	MULTI-VIEW TOWER	16 JALAN DATOH 329413	16 JALAN DATOH - SINGAPORE 329413	TERMINATED	15	64497141	09/07/1973	TP & III  ENTERPRISE PTE LTD	68832263
 Single Tier Management Corporation	 0213		S73MC0213C	PARK HOUSE	21H ORCHARD BOULEVARD 148645	531 UPPER CROSS STREET 04-12 SINGAPORE 050531	ACTIVE	60	63345565	07/08/1973	DICKSON FACILITIES & STRATA MANAGEMENT	63345565
 Single Tier Management Corporation	 0214		S73MC0214K	WATTEN RISE ESTATE	36/A/B/C WATTEN RISE 287347	531 UPPER CROSS STREET 04-12 SINGAPORE 050531	TERMINATED	52	63345565	16/08/1973	DICKSON PROPERTY CONSULTANTS PTE LTD	63345565
 Single Tier Management Corporation	 0215		1932	BOTANIC GARDENS VIEW	1 TAMAN SERASI 257724	9 TAMAN SERASI - SINGAPORE 257720	ACTIVE	146	6221 1313	21/08/1973	Property Facility Serivces Pte Ltd	62211313
 Single Tier Management Corporation	 0216		S73MC0216B	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0216	17C LORONG 8 GEYLANG 399086	80 MARINE PARADE ROAD 21-01 SINGAPORE 449269	ACTIVE	4	63461959	30/08/1973	PROPERTY FACILITY SERVICES PTE LTD	62211313
 Single Tier Management Corporation	 0217		S73MC0217J	CAVENAGH HOUSE	100 CLEMENCEAU AVENUE NORTH 229491	100 CLEMENCEAU AVENUE NORTH 01-105 SINGAPORE 229491	ACTIVE	80	68411535	04/09/1973	Pacific Property Management Pte Ltd	68411535
 Single Tier Management Corporation	 0218		S73MC0218E	203/A TO D LAVENDER ST	203D LAVENDER STREET 338763	203A LAVENDER STREET - SINGAPORE 338763	ACTIVE	5	97519759	05/09/1973		
 Single Tier Management Corporation	 0219		S73MCO219A	UNION BUILDING	171 TRAS STREET 079025	171 TRAS STREET 10-179A SINGAPORE 097025	ACTIVE	35	62232504	10/09/1973	Landsfield Property Management Pte Ltd	68421731
 Single Tier Management Corporation	 0220		S73MC0220J	AMSTERDAM APARTMENT	8B GREENLEAF WALK 279225	3 PHILLIP STREET 10-03 SINGAPORE 048693	ACTIVE	12	65357118	12/09/1973		
 Single Tier Management Corporation	 0221		S73MC0221E	MANDALAY MANSION	15 MINBU ROAD 308166	15 MINBU ROAD 01-00 SINGAPORE 308166	ACTIVE	25	98531828	21/09/1973	Chamber Property Management Services Pte Ltd	98531828
 Single Tier Management Corporation	 0222		S73MC0222A	BASSEIN COURT	1 BASSEIN ROAD 309834	1D BASSEIN ROAD - SINGAPORE 309834	TERMINATED	16	63564247	28/09/1973	NIL	
 Single Tier Management Corporation	 0223		S73MC0223H	LION TOWERS	2 ESSEX ROAD 309330	2 ESSEX ROAD 04- SINGAPORE 309330	ACTIVE	52	68750348	13/10/1973	GL Property Management Pte Ltd	68750348
 Single Tier Management Corporation	 0224		S73MC0224D	THONG TECK BUILDING	15 SCOTTS ROAD 228218	15 SCOTTS ROAD 07-00 SINGAPORE 228218	ACTIVE	33	67349060	24/11/1973	Property Facility Serivces Pte Ltd	62211313
 Single Tier Management Corporation	 0225		S73MC0225L	THONG TECK BUILDING	15 SCOTTS ROAD 228218	15 SCOTTS ROAD 07-00 SINGAPORE 228218	ACTIVE	2	67349060	19/12/1973	Property Facility Serivces Pte Ltd	62211313
 Single Tier Management Corporation	 0226		S73MC0226G	TAI KENG COURT	8 JALAN LOKAM 574328	745 LORONG 5 TOA PAYOH 02-01B SINGAPORE 319455	TERMINATED	80	65111823	27/12/1973	Abacus Property Management Pte Ltd	65111823
 Single Tier Management Corporation	 0227		S74MC0227H	LLOYD COURT	48F LLOYD ROAD 239107	40 LLOYD ROAD - SINGAPORE 239107	ACTIVE	23	6256 9333	21/02/1974	Newman & Goh Property Consultants Pte Ltd	62569333
 Single Tier Management Corporation	 0228		S74MC0228D			TERMINATED  - SINGAPORE 	TERMINATED	16		19/03/1974	NEWMAN & GOH PROPERTY CONSULTANTS PTE LTD	62569333
 Single Tier Management Corporation	 0229		S74MC0229L	LOCK CHO APARTMENTS (Terminated )		49 JALAN RAJA UDANG 01-01 SINGAPORE 329210	TERMINATED	140	62513562	20/03/1974	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100
 Single Tier Management Corporation	 0230		S74MC0230H	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0230	16C LORONG 22 GEYLANG 398674	14A LORONG 22 GEYLANG - SINGAPORE 398672	ACTIVE	6	67444000	25/03/1974	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100
